token_id,ensembl_id,gene_name,gene_median
154,ENSG00000138376,BARD1,1.29
155,ENSG00000260898,ADPGK-AS1,0.96
156,ENSG00000173171,MTX1,1.02
157,ENSG00000187238,LCE3B,
158,ENSG00000254462,,
159,ENSG00000283780,MAML1,1.0
160,ENSG00000250317,SMIM20,1.05
161,ENSG00000186051,TAL2,0.84
162,ENSG00000280832,GSEC,0.7
163,ENSG00000101447,FAM83D,0.92
164,ENSG00000125903,DEFB129,1.0
165,ENSG00000006715,VPS41,1.43
166,ENSG00000221944,TIGD1,0.83
167,ENSG00000232284,GNG12-AS1,1.32
168,ENSG00000272309,,1.68
169,ENSG00000215966,MIR876,
170,ENSG00000113552,GNPDA1,1.08
171,ENSG00000153071,DAB2,1.8
172,ENSG00000079337,RAPGEF3,1.39
173,ENSG00000258453,OR11H2,7.92
174,ENSG00000148288,GBGT1,0.81
175,ENSG00000031003,FAM13B,1.83
176,ENSG00000132780,NASP,2.83
177,ENSG00000284054,MIR7112,
178,ENSG00000163734,CXCL3,2.63
179,ENSG00000264661,MIR3200,
180,ENSG00000068079,IFI35,1.28
181,ENSG00000113761,ZNF346,1.02
182,ENSG00000225316,LINC00350,1.05
183,ENSG00000116793,PHTF1,1.26
184,ENSG00000205758,CRYZL1,1.22
185,ENSG00000189409,MMP23B,1.2
186,ENSG00000139631,CSAD,1.25
187,ENSG00000175787,ZNF169,0.95
188,ENSG00000021762,OSBPL5,1.11
189,ENSG00000156502,SUPV3L1,0.95
190,ENSG00000107611,CUBN,1.45
191,ENSG00000037637,FBXO42,1.44
192,ENSG00000197123,ZNF679,0.81
193,ENSG00000267556,,1.07
194,ENSG00000240288,GHRLOS,0.79
195,ENSG00000259332,ST20-MTHFS,
196,ENSG00000137251,TINAG,2.3
197,ENSG00000101365,IDH3B,1.11
198,ENSG00000178093,TSSK6,0.76
199,ENSG00000135045,C9orf40,0.76
200,ENSG00000134057,CCNB1,1.65
201,ENSG00000224687,RASAL2-AS1,0.67
202,ENSG00000280314,OR8K3,8.88
203,ENSG00000151892,GFRA1,1.87
204,ENSG00000171757,LRRC34,0.76
205,ENSG00000147996,ZNG1E,0.98
206,ENSG00000203711,LINC02901,0.83
207,ENSG00000163564,PYHIN1,3.94
208,ENSG00000261934,PCDHGA9,0.79
209,ENSG00000278910,BANCR,1.19
210,ENSG00000277209,RPPH1,
211,ENSG00000266525,MIR4650-1,
212,ENSG00000166136,NDUFB8,2.77
213,ENSG00000099326,MZF1,0.99
214,ENSG00000144712,CAND2,0.87
215,ENSG00000171094,ALK,1.86
216,ENSG00000196371,FUT4,0.67
217,ENSG00000102048,ASB9,0.79
218,ENSG00000101074,R3HDML,0.99
219,ENSG00000133574,GIMAP4,3.24
220,ENSG00000263593,MIR4804,
221,ENSG00000221754,MIR1260A,
222,ENSG00000143816,WNT9A,1.0
223,ENSG00000239857,GET4,1.42
224,ENSG00000166337,TAF10,1.52
225,ENSG00000202560,MIR539,
226,ENSG00000131697,NPHP4,0.95
227,ENSG00000166167,BTRC,1.62
228,ENSG00000143398,PIP5K1A,1.5
229,ENSG00000134317,GRHL1,0.97
230,ENSG00000125965,GDF5,0.79
231,ENSG00000224320,HLA-A,8.22
232,ENSG00000285456,LTB4R,0.88
233,ENSG00000188878,FBF1,0.85
234,ENSG00000143630,HCN3,0.72
235,ENSG00000198720,ANKRD13B,0.8
236,ENSG00000234857,HNRNPUL2-BSCL2,
237,ENSG00000177098,SCN4B,1.3
238,ENSG00000284903,MS4A3,2.24
239,ENSG00000112031,MTRF1L,0.91
240,ENSG00000186827,TNFRSF4,2.52
241,ENSG00000196867,ZFP28,0.81
242,ENSG00000274605,PCCA-DT,0.8
243,ENSG00000135902,CHRND,1.31
244,ENSG00000156219,ART3,1.68
245,ENSG00000168454,TXNDC2,0.6
246,ENSG00000079805,DNM2,1.58
247,ENSG00000284583,MIR935,
248,ENSG00000224939,LINC00184,0.85
249,ENSG00000002745,WNT16,1.08
250,ENSG00000148690,FRA10AC1,1.17
251,ENSG00000109686,SH3D19,2.36
252,ENSG00000136295,TTYH3,1.08
253,ENSG00000200354,SNORA71D,
254,ENSG00000153786,ZDHHC7,0.97
255,ENSG00000279195,PRAMEF7,0.48
256,ENSG00000196437,ZNF569,1.04
257,ENSG00000170340,B3GNT2,1.08
258,ENSG00000244479,OR2A1-AS1,0.85
259,ENSG00000262988,,3.2
260,ENSG00000095596,CYP26A1,1.35
261,ENSG00000174032,SLC25A30,0.93
262,ENSG00000102362,SYTL4,1.31
263,ENSG00000167315,ACAA2,1.29
264,ENSG00000196578,OR5AC2,1.0
265,ENSG00000124181,PLCG1,1.07
266,ENSG00000179029,TMEM107,0.99
267,ENSG00000101161,PRPF6,1.39
268,ENSG00000268894,PLCE1-AS1,0.79
269,ENSG00000154642,C21orf91,1.08
270,ENSG00000086712,TXLNG,1.17
271,ENSG00000230091,TMEM254-AS1,0.81
272,ENSG00000066777,ARFGEF1,2.07
273,ENSG00000288470,LINC02429,2.48
274,ENSG00000187783,TMEM72,1.14
275,ENSG00000226051,ZNF503-AS1,1.06
276,ENSG00000069275,NUCKS1,3.96
277,ENSG00000036257,CUL3,2.17
278,ENSG00000281766,RYBP,1.71
279,ENSG00000223687,ZNF311,0.68
280,ENSG00000123349,PFDN5,6.87
281,ENSG00000166884,OR4D6,1.89
282,ENSG00000178342,KCNG2,0.96
283,ENSG00000253405,EVX1-AS,0.82
284,ENSG00000172164,SNTB1,2.22
285,ENSG00000269830,,0.99
286,ENSG00000075624,ACTB,20.49
287,ENSG00000250033,SLC7A11-AS1,0.84
288,ENSG00000154358,OBSCN,1.04
289,ENSG00000177181,RIMKLA,0.95
290,ENSG00000148386,LCN9,3.27
291,ENSG00000134152,KATNBL1,1.55
292,ENSG00000134489,HRH4,0.89
293,ENSG00000160223,ICOSLG,0.86
294,ENSG00000138279,ANXA7,1.52
295,ENSG00000113790,EHHADH,1.0
296,ENSG00000205457,TP53TG3C,
297,ENSG00000291052,ABCC13,
298,ENSG00000233153,UBE2E2-DT,0.73
299,ENSG00000122574,WIPF3,1.21
300,ENSG00000043514,TRIT1,0.99
301,ENSG00000264429,MIR3183,
302,ENSG00000221937,TAS2R40,1.18
303,ENSG00000090971,NAT14,0.9
304,ENSG00000172464,OR5AP2,3.31
305,ENSG00000145192,AHSG,13.25
306,ENSG00000268817,,0.75
307,ENSG00000182405,PGBD4,0.8
308,ENSG00000264440,,1.11
309,ENSG00000109208,SMR3A,0.74
310,ENSG00000163217,BMP10,0.89
311,ENSG00000164308,ERAP2,1.57
312,ENSG00000113758,DBN1,1.45
313,ENSG00000113845,TIMMDC1,1.22
314,ENSG00000110002,VWA5A,0.91
315,ENSG00000143374,TARS2,0.8
316,ENSG00000185420,SMYD3,3.99
317,ENSG00000106628,POLD2,1.36
318,ENSG00000242265,PEG10,2.44
319,ENSG00000090857,PDPR,0.99
320,ENSG00000163394,CCKAR,1.18
321,ENSG00000284938,FAM180B,1.19
322,ENSG00000103313,MEFV,1.43
323,ENSG00000044446,PHKA2,1.01
324,ENSG00000169217,CD2BP2,1.04
325,ENSG00000167889,MGAT5B,1.02
326,ENSG00000171823,FBXL14,0.93
327,ENSG00000225690,TREML5P,
328,ENSG00000068885,IFT80,1.23
329,ENSG00000163959,SLC51A,1.03
330,ENSG00000133135,RNF128,1.19
331,ENSG00000185414,MRPL30,0.76
332,ENSG00000129595,EPB41L4A,1.94
333,ENSG00000133858,ZFC3H1,1.61
334,ENSG00000157064,NMNAT2,2.2
335,ENSG00000176058,TPRN,0.77
336,ENSG00000264268,MIR4767,
337,ENSG00000274060,MIR6724-2,
338,ENSG00000128965,CHAC1,0.77
339,ENSG00000117620,SLC35A3,1.16
340,ENSG00000265164,MIR2681,
341,ENSG00000213904,LIPE-AS1,1.3
342,ENSG00000054598,FOXC1,1.45
343,ENSG00000108823,SGCA,1.67
344,ENSG00000165633,VSTM4,1.17
345,ENSG00000284282,POLR3E,0.93
346,ENSG00000274997,H2AC12,
347,ENSG00000116544,DLGAP3,0.97
348,ENSG00000137819,PAQR5,1.06
349,ENSG00000005022,SLC25A5,3.59
350,ENSG00000140022,STON2,1.32
351,ENSG00000260916,CCPG1,1.65
352,ENSG00000200785,SNORD8,
353,ENSG00000167977,KCTD5,0.85
354,ENSG00000291035,RRP7BP,
355,ENSG00000152601,MBNL1,4.84
356,ENSG00000171944,OR52A5,0.73
357,ENSG00000105141,CASP14,1.335
358,ENSG00000206869,SNORA70F,
359,ENSG00000174928,C3orf33,0.81
360,ENSG00000260089,ADAM3B,
361,ENSG00000188282,RUFY4,1.08
362,ENSG00000168818,STX18,1.19
363,ENSG00000249700,SRD5A3-AS1,0.86
364,ENSG00000134255,CEPT1,1.13
365,ENSG00000070388,FGF22,0.88
366,ENSG00000067064,IDI1,1.76
367,ENSG00000239264,TXNDC5,1.12
368,ENSG00000268158,,0.92
369,ENSG00000227780,ZBTB22,0.76
370,ENSG00000115353,TACR1,1.27
371,ENSG00000131747,TOP2A,2.75
372,ENSG00000224318,CHL1-AS2,1.23
373,ENSG00000207698,MIR32,
374,ENSG00000150760,DOCK1,2.12
375,ENSG00000149016,TUT1,0.82
376,ENSG00000124209,RAB22A,1.22
377,ENSG00000132622,HSPA12B,1.1
378,ENSG00000095209,TMEM38B,1.07
379,ENSG00000012223,LTF,3.01
380,ENSG00000104967,NOVA2,1.31
381,ENSG00000170035,UBE2E3,2.26
382,ENSG00000278220,CLN8,1.01
383,ENSG00000187553,CYP26C1,0.92
384,ENSG00000135040,NAA35,1.39
385,ENSG00000199914,SNORD114-16,
386,ENSG00000149054,ZNF215,0.73
387,ENSG00000265766,CXADRP3,
388,ENSG00000035115,SH3YL1,1.27
389,ENSG00000164889,SLC4A2,0.84
390,ENSG00000163743,RCHY1,0.99
391,ENSG00000199334,RNA5S11,
392,ENSG00000232748,,0.74
393,ENSG00000236618,PITPNA-AS1,0.85
394,ENSG00000185070,FLRT2,2.46
395,ENSG00000176953,NFATC2IP,1.15
396,ENSG00000276497,APBA1,1.98
397,ENSG00000113389,NPR3,1.5
398,ENSG00000086666,ZFAND6,2.02
399,ENSG00000290915,KLKP1,
400,ENSG00000226402,TRIM31,2.89
401,ENSG00000090020,SLC9A1,1.01
402,ENSG00000144306,SCRN3,0.95
403,ENSG00000263885,MIR3920,
404,ENSG00000162723,SLAMF9,0.64
405,ENSG00000145741,BTF3,8.0
406,ENSG00000204952,FBXO47,0.95
407,ENSG00000164051,CCDC51,0.71
408,ENSG00000135452,TSPAN31,0.94
409,ENSG00000250250,CTD-2350J17.1,
410,ENSG00000196408,NOXO1,0.71
411,ENSG00000171940,ZNF217,1.24
412,ENSG00000121766,ZCCHC17,1.35
413,ENSG00000253771,TPTE2P1,
414,ENSG00000136840,ST6GALNAC4,0.81
415,ENSG00000066056,TIE1,2.14
416,ENSG00000166342,NETO1,2.27
417,ENSG00000182950,ODF3L1,0.77
418,ENSG00000284040,MIR296,
419,ENSG00000176101,SSNA1,1.47
420,ENSG00000284990,USP17L2,1.16
421,ENSG00000151292,CSNK1G3,1.37
422,ENSG00000138821,SLC39A8,1.34
423,ENSG00000291033,TXLNGY,
424,ENSG00000123159,GIPC1,1.25
425,ENSG00000103150,MLYCD,0.91
426,ENSG00000050405,LIMA1,2.14
427,ENSG00000156374,PCGF6,0.93
428,ENSG00000163762,TM4SF18,2.21
429,ENSG00000089280,FUS,3.18
430,ENSG00000278719,MCM8-AS1,0.95
431,ENSG00000184304,PRKD1,2.41
432,ENSG00000157103,SLC6A1,2.39
433,ENSG00000049089,COL9A2,1.39
434,ENSG00000273594,EEF1D,6.7
435,ENSG00000138075,ABCG5,1.78
436,ENSG00000204790,,0.77
437,ENSG00000183856,IQGAP3,0.7
438,ENSG00000275451,MIR6085,
439,ENSG00000291155,CT75,
440,ENSG00000048405,ZNF800,1.33
441,ENSG00000145451,GLRA3,1.44
442,ENSG00000196993,NPIPB9,0.78
443,ENSG00000276765,MIR8073,
444,ENSG00000197841,ZNF181,0.85
445,ENSG00000244274,DBNDD2,1.12
446,ENSG00000113615,SEC24A,1.16
447,ENSG00000232956,SNHG15,1.21
448,ENSG00000166888,STAT6,1.29
449,ENSG00000173065,FAM222B,1.55
450,ENSG00000132855,ANGPTL3,4.23
451,ENSG00000148541,FAM13C,1.8
452,ENSG00000100503,NIN,1.78
453,ENSG00000131831,RAI2,1.09
454,ENSG00000187955,COL14A1,2.63
455,ENSG00000214826,DDX12P,
456,ENSG00000170881,RNF139,0.99
